date,trade_sum,sanctions_sum,fed_pressure_sum
2017-01-01,0.0,0.0,0.0
2017-01-02,50.0,60.0,0.0
2017-01-03,90.0,0.0,0.0
2017-01-04,50.0,0.0,0.0
2017-01-05,40.0,0.0,0.0
2017-01-06,40.0,0.0,0.0
2017-01-07,0.0,0.0,0.0
2017-01-08,0.0,0.0,0.0
2017-01-09,105.0,25.0,0.0
2017-01-10,0.0,0.0,0.0
2017-01-11,0.0,0.0,0.0
2017-01-12,0.0,0.0,0.0
2017-01-13,0.0,0.0,0.0
2017-01-14,0.0,0.0,0.0
2017-01-15,40.0,0.0,0.0
2017-01-16,0.0,20.0,0.0
2017-01-17,0.0,0.0,0.0
2017-01-18,40.0,0.0,0.0
2017-01-19,0.0,0.0,0.0
2017-01-20,51.0,25.0,0.0
2017-01-21,15.0,0.0,0.0
2017-01-22,0.0,0.0,0.0
2017-01-23,20.0,0.0,0.0
2017-01-24,0.0,0.0,0.0
2017-01-25,10.0,0.0,0.0
2017-01-26,70.0,12.0,0.0
2017-01-27,63.0,5.0,0.0
2017-01-28,0.0,0.0,0.0
2017-01-29,0.0,0.0,0.0
2017-01-30,40.0,0.0,0.0
2017-01-31,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0
2017-02-02,45.0,100.0,2.0
2017-02-03,0.0,0.0,0.0
2017-02-04,70.0,40.0,0.0
2017-02-05,0.0,0.0,0.0
2017-02-06,0.0,0.0,0.0
2017-02-07,0.0,20.0,0.0
2017-02-08,0.0,5.0,0.0
2017-02-09,0.0,0.0,0.0
2017-02-10,0.0,0.0,0.0
2017-02-11,10.0,5.0,0.0
2017-02-12,0.0,20.0,0.0
2017-02-13,0.0,0.0,0.0
2017-02-14,10.0,50.0,0.0
2017-02-15,10.0,0.0,0.0
2017-02-16,0.0,0.0,0.0
2017-02-17,0.0,0.0,0.0
2017-02-18,0.0,0.0,0.0
2017-02-19,10.0,0.0,0.0
2017-02-20,0.0,0.0,0.0
2017-02-21,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0
2017-02-23,0.0,0.0,0.0
2017-02-24,0.0,0.0,0.0
2017-02-25,0.0,0.0,0.0
2017-02-26,0.0,0.0,0.0
2017-02-27,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0
2017-03-01,0.0,0.0,0.0
2017-03-02,0.0,0.0,0.0
2017-03-03,0.0,0.0,0.0
2017-03-04,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0
2017-03-06,0.0,0.0,0.0
2017-03-07,0.0,0.0,0.0
2017-03-08,0.0,0.0,0.0
2017-03-09,5.0,3.0,0.0
2017-03-10,0.0,0.0,0.0
2017-03-11,0.0,0.0,0.0
2017-03-12,0.0,0.0,0.0
2017-03-13,0.0,0.0,0.0
2017-03-14,0.0,0.0,0.0
2017-03-15,10.0,0.0,0.0
2017-03-16,0.0,0.0,0.0
2017-03-17,45.0,25.0,0.0
2017-03-18,40.0,0.0,0.0
2017-03-19,0.0,0.0,0.0
2017-03-20,0.0,0.0,0.0
2017-03-21,0.0,0.0,0.0
2017-03-22,0.0,0.0,0.0
2017-03-23,0.0,0.0,0.0
2017-03-24,0.0,0.0,0.0
2017-03-25,0.0,0.0,0.0
2017-03-26,0.0,0.0,0.0
2017-03-27,40.0,0.0,0.0
2017-03-28,40.0,20.0,0.0
2017-03-29,0.0,0.0,0.0
2017-03-30,73.0,8.0,0.0
2017-03-31,40.0,0.0,0.0
2017-04-01,0.0,0.0,0.0
2017-04-02,0.0,0.0,0.0
2017-04-03,0.0,60.0,0.0
2017-04-04,0.0,0.0,0.0
2017-04-05,0.0,0.0,0.0
2017-04-06,0.0,0.0,0.0
2017-04-07,0.0,0.0,0.0
2017-04-08,12.0,0.0,0.0
2017-04-09,0.0,0.0,0.0
2017-04-10,0.0,0.0,0.0
2017-04-11,58.0,33.0,0.0
2017-04-12,10.0,0.0,0.0
2017-04-13,20.0,40.0,0.0
2017-04-14,0.0,0.0,0.0
2017-04-15,0.0,0.0,0.0
2017-04-16,40.0,0.0,0.0
2017-04-17,50.0,0.0,0.0
2017-04-18,0.0,0.0,0.0
2017-04-19,20.0,0.0,0.0
2017-04-20,25.0,2.0,0.0
2017-04-21,57.0,28.0,0.0
2017-04-22,0.0,0.0,0.0
2017-04-23,40.0,0.0,0.0
2017-04-24,0.0,0.0,0.0
2017-04-25,50.0,0.0,0.0
2017-04-26,35.0,0.0,0.0
2017-04-27,135.0,0.0,0.0
2017-04-28,20.0,40.0,0.0
2017-04-29,0.0,0.0,0.0
2017-04-30,0.0,0.0,0.0
2017-05-01,0.0,0.0,0.0
2017-05-02,0.0,0.0,0.0
2017-05-03,0.0,0.0,0.0
2017-05-04,0.0,0.0,0.0
2017-05-05,5.0,3.0,0.0
2017-05-06,0.0,0.0,0.0
2017-05-07,60.0,0.0,0.0
2017-05-08,0.0,0.0,0.0
2017-05-09,0.0,0.0,0.0
2017-05-10,0.0,0.0,0.0
2017-05-11,0.0,0.0,0.0
2017-05-12,0.0,0.0,5.0
2017-05-13,0.0,0.0,0.0
2017-05-14,0.0,0.0,0.0
2017-05-15,0.0,0.0,0.0
2017-05-16,0.0,20.0,0.0
2017-05-17,0.0,0.0,0.0
2017-05-18,10.0,0.0,0.0
2017-05-19,0.0,0.0,0.0
2017-05-20,0.0,0.0,0.0
